"case_id","persona","p","risky_reward","certain_reward","model","template","age","cancer_type","answer_choice","answer_meaning","reason"
"p_0.00_ce_1000_family_breast_cancer_70_reversed","family",0.0,1000,1000,"gpt-4.1-mini","reversed",70,"breast_cancer","Option A","certain","I would prefer the guaranteed outcome of 1000 recurrence-free days to avoid uncertainty and maximize quality time."
"p_1.00_ce_0_doctor_colorectal_cancer_80_reversed","doctor",1.0,1000,0,"gpt-4.1-mini","reversed",80,"colorectal_cancer","Option B","risky","I would prefer a treatment that guarantees a significant period without recurrence, valuing quality and length of life over certainty of no benefit."
"p_1.00_ce_500_patient_gstric_cancer_50_reversed","patient",1.0,1000,500,"gpt-4.1-mini","reversed",50,"gstric_cancer","Option B","risky","I prefer the longer guaranteed recurrence-free period of 1000 days to maximize my time without cancer returning."
"p_1.00_ce_1000_family_prostate_cancer_80_reversed","family",1.0,1000,1000,"gpt-4.1-mini","reversed",80,"prostate_cancer","Option A","certain","Both options describe the same outcome with certainty, but Option A's wording feels clearer and more straightforward to me."
"p_0.00_ce_0_patient_breast_cancer_60_reversed","patient",0.0,1000,0,"gpt-4.1-mini","reversed",60,"breast_cancer","Option A","certain","I prefer certainty over uncertainty, even if it means no recurrence-free days, rather than risking no benefit at all with Option B."
"p_1.00_ce_500_doctor_prostate_cancer_80_reversed","doctor",1.0,1000,500,"gpt-4.1-mini","reversed",80,"prostate_cancer","Option B","risky","As an 80-year-old, maximizing recurrence-free days is crucial to maintain quality of life, so I prefer the drug that offers 1000 days with certainty."
"p_0.00_ce_1000_patient_colorectal_cancer_70_reversed","patient",0.0,1000,1000,"gpt-4.1-mini","reversed",70,"colorectal_cancer","Option A","certain","I prefer the certainty of guaranteed 1000 recurrence-free days over any chance of no benefit, valuing quality time without cancer recurrence."
"p_1.00_ce_0_patient_breast_cancer_50_reversed","patient",1.0,1000,0,"gpt-4.1-mini","reversed",50,"breast_cancer","Option B","risky","I would choose the drug that offers a guaranteed 1000 recurrence-free days to maximize my quality and length of life."
"p_1.00_ce_500_doctor_gstric_cancer_80_reversed","doctor",1.0,1000,500,"gpt-4.1-mini","reversed",80,"gstric_cancer","Option B","risky","Doubling the recurrence-free days to 1000 with certainty provides a significantly longer period of remission, which aligns with my preference for maximizing quality time despite advanced cancer."
"p_1.00_ce_500_doctor_breast_cancer_80_reversed","doctor",1.0,1000,500,"gpt-4.1-mini","reversed",80,"breast_cancer","Option B","risky","I would prefer the longer recurrence-free period with certainty, maximizing the quality and length of my life despite the advanced stage."
"p_0.50_ce_500_family_colorectal_cancer_50_reversed","family",0.5,1000,500,"gpt-4.1-mini","reversed",50,"colorectal_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking getting nothing with a 50% chance."
"p_0.50_ce_1000_patient_breast_cancer_80_reversed","patient",0.5,1000,1000,"gpt-4.1-mini","reversed",80,"breast_cancer","Option A","certain","At my age and with advanced cancer, I prefer the certainty of guaranteed recurrence-free days rather than risking it with a 50% chance."
"p_0.00_ce_0_doctor_breast_cancer_70_reversed","doctor",0.0,1000,0,"gpt-4.1-mini","reversed",70,"breast_cancer","Option B","risky","Even with 0% probability, Option B offers a chance of 1000 recurrence-free days, which is preferable over a guaranteed 0 days."
"p_0.50_ce_0_family_gstric_cancer_50_forward","family",0.5,1000,0,"gpt-4.1-mini","forward",50,"gstric_cancer","Option A","risky","I prefer to take the chance of gaining a significant amount of recurrence-free time rather than accepting no benefit at all."
"p_0.50_ce_500_doctor_lung_cancer_80_reversed","doctor",0.5,1000,500,"gpt-4.1-mini","reversed",80,"lung_cancer","Option A","certain","At my age, certainty and quality of life are more important than risking a longer but uncertain recurrence-free period."
"p_1.00_ce_0_doctor_gstric_cancer_60_forward","doctor",1.0,1000,0,"gpt-4.1-mini","forward",60,"gstric_cancer","Option A","risky","Choosing the drug with 100% probability of 1000 recurrence-free days maximizes quality of life and provides certainty of benefit, which aligns with my preference for certainty in treatment outcomes."
"p_1.00_ce_1000_family_colorectal_cancer_70_reversed","family",1.0,1000,1000,"gpt-4.1-mini","reversed",70,"colorectal_cancer","Option A","certain","Both options essentially offer the same outcome, but Option A's wording feels more definitive and reassuring, which suits my preference for certainty."
"p_0.00_ce_500_doctor_gstric_cancer_50_reversed","doctor",0.0,1000,500,"gpt-4.1-mini","reversed",50,"gstric_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days over the impossible outcome of 1000 days, minimizing risk in an advanced cancer scenario."
"p_0.50_ce_0_patient_breast_cancer_60_forward","patient",0.5,1000,0,"gpt-4.1-mini","forward",60,"breast_cancer","Option A","risky","I prefer to take a chance on gaining significant recurrence-free time rather than accepting none, valuing hope and potential quality of life improvement."
"p_1.00_ce_0_doctor_lung_cancer_60_reversed","doctor",1.0,1000,0,"gpt-4.1-mini","reversed",60,"lung_cancer","Option B","risky","I would choose the drug that offers 1000 recurrence-free days with certainty because maximizing recurrence-free survival is critical for quality of life and overall prognosis."
"p_0.00_ce_500_doctor_prostate_cancer_50_forward","doctor",0.0,1000,500,"gpt-4.1-mini","forward",50,"prostate_cancer","Option B","certain","I prefer a guaranteed outcome of 500 recurrence-free days over the uncertainty of achieving 1000 days with 0% probability."
"p_0.00_ce_500_family_breast_cancer_50_forward","family",0.0,1000,500,"gpt-4.1-mini","forward",50,"breast_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days over the zero chance of achieving 1000 days."
"p_0.50_ce_500_patient_colorectal_cancer_50_reversed","patient",0.5,1000,500,"gpt-4.1-mini","reversed",50,"colorectal_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit with a 50% chance, valuing guaranteed quality time."
"p_1.00_ce_1000_patient_breast_cancer_60_forward","patient",1.0,1000,1000,"gpt-4.1-mini","forward",60,"breast_cancer","Option A","risky","Both options offer the same certainty and outcome, so I choose Option A as it is straightforward and guarantees the full recurrence-free period."
"p_0.50_ce_0_doctor_colorectal_cancer_50_reversed","doctor",0.5,1000,0,"gpt-4.1-mini","reversed",50,"colorectal_cancer","Option B","risky","I prefer to take the chance for a significant period without recurrence, valuing the possibility of extended quality life over a guaranteed poor outcome."
"p_0.00_ce_500_patient_breast_cancer_50_forward","patient",0.0,1000,500,"gpt-4.1-mini","forward",50,"breast_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days rather than risking getting no benefit at all."
"p_1.00_ce_1000_family_breast_cancer_80_reversed","family",1.0,1000,1000,"gpt-4.1-mini","reversed",80,"breast_cancer","Option A","certain","Both options describe the same certainty, but Option A clearly states a guarantee, which feels more reassuring for peace of mind."
"p_0.50_ce_0_patient_prostate_cancer_60_reversed","patient",0.5,1000,0,"gpt-4.1-mini","reversed",60,"prostate_cancer","Option B","risky","I prefer taking the chance for a significant period without recurrence, as the potential benefit outweighs the risk of no recurrence-free days."
"p_0.50_ce_1000_patient_prostate_cancer_80_forward","patient",0.5,1000,1000,"gpt-4.1-mini","forward",80,"prostate_cancer","Option B","certain","At my age and stage, certainty of 1000 recurrence-free days is more valuable than a risky 50% chance, as I prefer a guaranteed quality time without recurrence."
"p_1.00_ce_0_family_prostate_cancer_70_forward","family",1.0,1000,0,"gpt-4.1-mini","forward",70,"prostate_cancer","Option A","risky","I would choose the treatment that guarantees a significant period of recurrence-free days, as it offers the best chance for quality time and peace of mind."
"p_0.00_ce_1000_patient_breast_cancer_60_forward","patient",0.0,1000,1000,"gpt-4.1-mini","forward",60,"breast_cancer","Option B","certain","I prefer the certainty of guaranteed recurrence-free days, as it provides peace of mind and the best possible quality of life during treatment."
"p_0.00_ce_500_doctor_prostate_cancer_60_reversed","doctor",0.0,1000,500,"gpt-4.1-mini","reversed",60,"prostate_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days over a zero chance of 1000 days, prioritizing guaranteed benefit in advanced cancer treatment."
"p_0.00_ce_0_doctor_gstric_cancer_60_forward","doctor",0.0,1000,0,"gpt-4.1-mini","forward",60,"gstric_cancer","Option B","certain","Since Option A offers 0% chance of benefit, I would choose the guaranteed outcome of Option B rather than false hope."
"p_1.00_ce_500_patient_breast_cancer_60_reversed","patient",1.0,1000,500,"gpt-4.1-mini","reversed",60,"breast_cancer","Option B","risky","I prefer the longer recurrence-free period of 1000 days with certainty, as it maximizes my quality time despite the advanced stage of my condition."
"p_1.00_ce_0_doctor_breast_cancer_60_reversed","doctor",1.0,1000,0,"gpt-4.1-mini","reversed",60,"breast_cancer","Option B","risky","I would choose the drug that guarantees 1000 recurrence-free days to maximize my quality of life and chances of living longer without cancer recurrence."
"p_0.50_ce_500_family_lung_cancer_70_forward","family",0.5,1000,500,"gpt-4.1-mini","forward",70,"lung_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days rather than risking getting nothing with a 50% chance."
"p_0.50_ce_500_patient_colorectal_cancer_60_forward","patient",0.5,1000,500,"gpt-4.1-mini","forward",60,"colorectal_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days over the risk of potentially getting nothing with Option A."
"p_0.00_ce_1000_doctor_colorectal_cancer_70_reversed","doctor",0.0,1000,1000,"gpt-4.1-mini","reversed",70,"colorectal_cancer","Option A","certain","With a 100% guarantee of 1000 recurrence-free days, I prefer certainty and maximizing quality time without cancer recurrence."
"p_0.50_ce_1000_family_lung_cancer_60_forward","family",0.5,1000,1000,"gpt-4.1-mini","forward",60,"lung_cancer","Option B","certain","I prefer the certainty of guaranteed recurrence-free days rather than taking a risk with only a 50% chance."
"p_1.00_ce_1000_patient_gstric_cancer_80_forward","patient",1.0,1000,1000,"gpt-4.1-mini","forward",80,"gstric_cancer","Option A","risky","Both options offer the same outcome, but Option A’s phrasing feels more straightforward and less absolute, which aligns with my cautious approach."
"p_1.00_ce_500_doctor_lung_cancer_80_forward","doctor",1.0,1000,500,"gpt-4.1-mini","forward",80,"lung_cancer","Option A","risky","I prefer the certainty of the longest possible recurrence-free period, as 1000 days offers a significantly better outcome than 500 days."
"p_1.00_ce_500_doctor_lung_cancer_50_reversed","doctor",1.0,1000,500,"gpt-4.1-mini","reversed",50,"lung_cancer","Option B","risky","I would prefer the longer guaranteed recurrence-free period of 1000 days to maximize quality and quantity of life."
"p_0.50_ce_500_patient_lung_cancer_60_reversed","patient",0.5,1000,500,"gpt-4.1-mini","reversed",60,"lung_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit with a 50% chance."
"p_0.00_ce_1000_family_lung_cancer_50_forward","family",0.0,1000,1000,"gpt-4.1-mini","forward",50,"lung_cancer","Option B","certain","I prefer the certainty of 1000 recurrence-free days rather than risking no benefit at all."
"p_0.50_ce_0_family_breast_cancer_60_reversed","family",0.5,1000,0,"gpt-4.1-mini","reversed",60,"breast_cancer","Option B","risky","I prefer to take the chance of 50% for 1000 recurrence-free days rather than accepting no recurrence-free days at all."
"p_1.00_ce_500_patient_lung_cancer_80_forward","patient",1.0,1000,500,"gpt-4.1-mini","forward",80,"lung_cancer","Option A","risky","I would choose the drug that guarantees the longest recurrence-free period, maximizing my quality time without cancer symptoms."
"p_0.00_ce_0_family_gstric_cancer_80_reversed","family",0.0,1000,0,"gpt-4.1-mini","reversed",80,"gstric_cancer","Option A","certain","I prefer certainty even if the outcome is poor, rather than false hope with no chance of benefit."
"p_0.50_ce_500_patient_lung_cancer_70_reversed","patient",0.5,1000,500,"gpt-4.1-mini","reversed",70,"lung_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking to get nothing, valuing guaranteed quality time."
"p_0.00_ce_0_family_lung_cancer_50_reversed","family",0.0,1000,0,"gpt-4.1-mini","reversed",50,"lung_cancer","Option A","certain","Option A offers a guaranteed outcome without uncertainty, while Option B provides no chance of benefit, making Option A the more predictable and preferable choice."
"p_0.00_ce_500_family_lung_cancer_60_forward","family",0.0,1000,500,"gpt-4.1-mini","forward",60,"lung_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit at all."
"p_1.00_ce_1000_patient_prostate_cancer_70_reversed","patient",1.0,1000,1000,"gpt-4.1-mini","reversed",70,"prostate_cancer","Option A","certain","Both options offer the same outcome with certainty, but Option A explicitly guarantees 1000 recurrence-free days, giving me confidence in its reliability."
"p_0.50_ce_1000_doctor_prostate_cancer_50_reversed","doctor",0.5,1000,1000,"gpt-4.1-mini","reversed",50,"prostate_cancer","Option A","certain","I prefer the certainty of guaranteed recurrence-free days over the risk of no benefit, prioritizing stability and predictability in treatment outcomes."
"p_1.00_ce_500_doctor_colorectal_cancer_50_forward","doctor",1.0,1000,500,"gpt-4.1-mini","forward",50,"colorectal_cancer","Option A","risky","I prefer the certainty of maximum recurrence-free days to maximize quality and quantity of life."
"p_1.00_ce_1000_doctor_prostate_cancer_60_forward","doctor",1.0,1000,1000,"gpt-4.1-mini","forward",60,"prostate_cancer","Option B","certain","Both options provide the same guaranteed outcome, but Option B clearly states the certainty, aligning with my preference for assured results in treatment."
"p_1.00_ce_1000_family_gstric_cancer_70_forward","family",1.0,1000,1000,"gpt-4.1-mini","forward",70,"gstric_cancer","Option A","risky","The probability of 1000 recurrence-free days is the same, so I trust the drug with a 100% chance of achieving this outcome."
"p_1.00_ce_0_doctor_gstric_cancer_60_reversed","doctor",1.0,1000,0,"gpt-4.1-mini","reversed",60,"gstric_cancer","Option B","risky","I would choose the drug that guarantees 1000 recurrence-free days, as maximizing recurrence-free survival is crucial for quality of life and long-term outcomes."
"p_0.00_ce_500_patient_gstric_cancer_50_reversed","patient",0.0,1000,500,"gpt-4.1-mini","reversed",50,"gstric_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days over the zero chance of 1000 days, valuing guaranteed quality time."
"p_0.00_ce_500_family_lung_cancer_60_reversed","family",0.0,1000,500,"gpt-4.1-mini","reversed",60,"lung_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days over the zero probability of a longer duration, valuing guaranteed quality time."
"p_0.50_ce_500_patient_lung_cancer_80_forward","patient",0.5,1000,500,"gpt-4.1-mini","forward",80,"lung_cancer","Option B","certain","At my age, I prefer the certainty of 500 recurrence-free days rather than risking getting fewer days with a 50% chance."
